Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-08-05,131,NABIL,Nabil Bank Limited,530.1,563,530.1,557,75852,42234263.2,558,568,471,2026-08-05T14:59:17.344709,557,548,556.79,150707.48
2,2026-08-05,132,NIMB,Nepal Investment Mega Bank Limited,206,206,195.1,196.5,98719,19431756.9,198.5,234.9,184,2026-08-05T14:59:43.862767,196.5,341,196.83,67062.69
3,2026-08-05,133,SCB,Standard Chartered Bank Limited,662,662,650.1,655.9,8907,5849677.1,652.6,712.6,594.9,2026-08-05T14:59:47.916982,655.9,103,656.75,65867.89
4,2026-08-05,134,HBL,Himalayan Bank Limited,200,200,196.5,197.3,42244,8342572,200,239.8,184,2026-08-05T14:59:56.17838,197.3,512,197.48,44553.62
5,2026-08-05,135,SBI,Nepal SBI Bank Limited,403,411.8,403,408.7,12697,5164980.1,409,441,363,2026-08-05T14:59:56.450009,408.7,59,406.78,46326.65
6,2026-08-05,137,EBL,Everest Bank Limited,729,734,727.2,730,34151,24928829.6,729,780.6,619,2026-08-05T14:59:49.506669,730,180,729.95,100166.04
7,2026-08-05,139,NICA,NIC Asia Bank Ltd.,346.5,346.5,313.5,329.1,49029,16185634.1,330,411,304.5,2026-08-05T14:59:53.510909,329.1,224,330.12,49093.71
8,2026-08-05,140,MBL,Machhapuchhre Bank Limited,255.1,259,253,255.8,84844,21693284.1,257.8,284,205,2026-08-05T14:59:58.346663,255.8,173,255.68,30916.53
9,2026-08-05,141,LSL,Laxmi Sunrise Bank Limited,228.5,229,223.5,224.7,110032,24825445.5,225.5,244,203,2026-08-05T14:58:31.152687,224.7,186,225.62,60177.27
10,2026-08-05,142,KBL,Kumari Bank Limited,226,226,217,219,326366,71584092.7,221.8,256,175.5,2026-08-05T14:59:55.474237,219,678,219.33,57434.64
11,2026-08-05,145,SBL,Siddhartha Bank Limited,417,420,413.1,417,206225,85684621.3,417.9,424.7,320.5,2026-08-05T14:59:52.206627,417,268,415.49,61692.98
